date,open,high,low,close,volume,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol
18/05/2024,3092.0,3694.0,3047.67,3661.78,1213229.4386,3989870738.702279,3224103,613255.9716,2021133752.439928
21/05/2024,3661.79,3949.29,3498.0,3783.61,2655241.6553,9992050582.924702,6227410,1320328.2754,4970104821.656079
24/05/2024,3783.6,3884.2,3626.1,3826.47,930338.6247,3493083569.025501,2360071,471011.57,1768180934.751707
27/05/2024,3826.47,3977.0,3742.59,3767.43,1114727.1165,4303331808.786543,2796703,560948.6676,2165454674.996995
30/05/2024,3767.44,3849.94,3702.58,3815.82,683128.256,2577820634.445852,1845422,342869.7429,1294162344.470756
02/06/2024,3815.82,3849.99,3730.0,3810.23,691207.8895,2622874304.560018,1796945,352437.8561,1337523716.264381
05/06/2024,3810.23,3887.47,3600.0,3678.32,873466.1534,3309433033.84237,2064892,424393.4661,1609773536.945537
08/06/2024,3678.31,3721.52,3642.74,3667.85,400365.126,1475184262.300852,1043610,188516.5873,694665333.599801
11/06/2024,3667.85,3673.0,3428.0,3469.4,1126843.2017,3984999035.780455,2583125,542753.8377,1919603399.40873
14/06/2024,3469.4,3653.79,3362.26,3624.41,718805.9928,2527639630.771453,1665244,359827.3138,1265726305.113112
17/06/2024,3624.41,3638.37,3355.0,3560.51,1109218.9443,3876380467.983675,2549393,546266.8177,1909389059.026503
20/06/2024,3560.51,3625.96,3446.82,3495.75,787047.563,2772738786.913414,1805941,395132.6699,1391923334.1214
23/06/2024,3495.76,3521.45,3240.0,3394.91,916818.0769,3082981523.865859,2215770,453004.0697,1524434975.476364
26/06/2024,3394.91,3487.7,3325.01,3380.15,629625.3462,2147389892.45105,1983985,334578.5964,1141223405.109889
29/06/2024,3380.15,3524.94,3352.66,3442.2,453824.5958,1560071546.575423,1776927,248646.3333,854730202.166811
02/07/2024,3442.2,3464.12,3050.34,3059.7,898743.7216,2930254356.749966,3901120,413631.799,1349910231.317003
05/07/2024,3059.7,3110.0,2810.0,2931.0,1281375.1078,3787693162.398408,4901293,604227.2642,1787574615.469313
08/07/2024,2930.99,3151.51,2822.8,3101.05,1051630.2373,3184222540.865533,4896287,529695.4389,1605150351.248428
11/07/2024,3101.06,3217.24,3045.58,3175.93,594276.9794,1859066480.856052,3099237,304646.9915,953134065.2222941
14/07/2024,3175.93,3498.59,3163.67,3444.13,855856.4037,2880364204.395443,4046691,438887.8823,1477760056.555809
