date,open,high,low,close,volume,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol
30/03/2020,124.47,135.42,124.06,132.06,764831.9275,100271145.9,241576,392536.4696,51471681.58
31/03/2020,132.09,135,130.38,132.72,547669.2779,72618183.48,172692,270347.2843,35849972.63
1/04/2020,132.72,136.99,128.62,135.69,680922.2475,90063924.23,199637,324454.1916,42946394.48
2/04/2020,135.65,149.76,135.01,141.28,1138977.661,159989506.6,314519,578693.1952,81265956.91
3/04/2020,141.27,146.72,137.26,141.31,797546.1145,113731706.7,239800,377394.131,53851773.63
4/04/2020,141.3,146.28,138.88,144.1,573508.1409,81640622.83,178768,292547.0806,41667692.35
5/04/2020,144.1,145.58,140.68,142.68,414987.4525,59383946.13,134223,205853.936,29454884.74
6/04/2020,142.69,172,142.6,171.32,1636338.731,257097597.8,432858,839620.3448,131930482.8
7/04/2020,171.32,176.22,162.22,164.63,1717962.825,292710722.6,446557,854069.1752,145531653.9
8/04/2020,164.62,174.48,163.59,173.11,1023575.921,173916484.8,287799,511443.6215,86963287.6
9/04/2020,173.15,173.38,165.19,169.52,719837.2442,122531132,212541,356967.4957,60787119.84
10/04/2020,169.56,170.1,152.11,157.81,1314841.362,209535613.3,323430,623128.0834,99285405.31
11/04/2020,157.81,161.37,153.91,158.33,621599.6129,98275533.06,168046,313112.5833,49512383.09
12/04/2020,158.33,164.78,155,158.59,809100.2459,129919934.4,223429,396232.4459,63624893.23
13/04/2020,158.56,158.97,150,156.29,1042091.036,160423270.3,255965,519763.8836,80051376.53
14/04/2020,156.28,161.85,155.23,158.45,698030.6509,110710086.1,178490,343955.5143,54564372.11
15/04/2020,158.46,161.29,152,152.73,729119.6651,114640840.1,186226,347034.4829,54594699.04
16/04/2020,152.74,174.79,148.33,172.29,1647207.6,273639160.1,389854,830355.7832,137897793.2
17/04/2020,172.31,174.96,168.31,170.69,723537.7559,123553456.3,191289,352005.3418,60121889.86
18/04/2020,170.61,189.54,170.48,187.4,1127296.37,203132212,286172,569708.877,102696714.6
19/04/2020,187.4,188.35,175.75,180.03,995759.5775,181415813.5,270668,478833.6927,87227250.3
20/04/2020,180.02,186.46,166.7,170.2,1547821.527,273854539.8,365589,745586.6741,131918687.7
21/04/2020,170.21,174.7,168,170.74,906381.654,155292048.4,228262,454400.7889,77856857.49
22/04/2020,170.73,184,169.78,182.7,988698.3908,176079076.9,246896,488185.2635,86960811.94
23/04/2020,182.7,193.63,178.16,185.51,1457867.087,270862911.4,363772,719694.3169,133791885
24/04/2020,185.57,189.8,184.72,187.59,780904.2126,146419748.1,222074,368634.106,69133236.24
25/04/2020,187.6,198.36,185.76,194.21,866478.0493,167703202.4,244755,438541.86,84884022.53
26/04/2020,194.21,200,192.3,197.38,758525.8153,148433709.8,228826,383155.4618,74997367.32
27/04/2020,197.39,199.05,189.29,196.34,896627.3727,174775637.9,238341,426083.0035,83095117.56
28/04/2020,196.33,198.5,192.36,196.24,636829.894,124476041.9,183819,324710.2429,63499045.65
29/04/2020,196.24,218.77,196.22,215.36,1620422.724,338324593.6,445147,817195.355,170664754.3
30/04/2020,215.4,227.3,202,206.08,1749691.002,374893029.8,557268,840566.789,180276411
1/05/2020,206.07,217.14,205.91,212.02,794913.9583,168339123.4,291365,389989.7691,82585993.16
2/05/2020,212.01,215.37,210.36,213.9,443494.6725,94389501.52,185802,225155.582,47928012.23
3/05/2020,213.89,219.3,203.92,209.86,748383.9131,158874887.1,268841,354161.9679,75207830.9
4/05/2020,209.86,210.65,194.88,206.48,1114249.327,225451167.7,349701,553422.1371,111948053.1
5/05/2020,206.47,211.68,201,205.29,640644.6627,131906204.9,246124,310794.7803,64025329.19
6/05/2020,205.3,210.77,197.71,198.97,862700.6785,178157452.6,271299,411115.122,84998478.61
7/05/2020,198.92,215.1,196.43,212,1305778.738,271197927.7,380313,660789.6789,137272634.8
8/05/2020,212.01,216.61,206.9,211.31,917908.1944,194579529.4,262122,445600.397,94465691.13
9/05/2020,211.32,214.6,208.4,210.07,587871.9807,124626471.4,194059,292187.2672,61966403.94
10/05/2020,210.09,210.18,179.59,187.54,1473226.055,278394290.8,426358,694788.4291,131143494.3
11/05/2020,187.62,193.5,176,185.73,1093299.819,203391530.2,303669,529158.7467,98465728.23
12/05/2020,185.8,192.24,185.48,189.76,669755.7957,126810812.2,193978,336075.3055,63647040.81
13/05/2020,189.77,201,188.35,199.58,806143.007,156637596.4,212710,410843.3562,79791107.72
14/05/2020,199.61,206.02,195.67,203.29,1114700.249,224233786.1,285245,557166.1504,112099049.7
15/05/2020,203.29,204.08,191.66,194.86,904749.6357,179634085.6,230721,437768.7727,86944450.76
16/05/2020,194.87,203.5,193.21,200.45,669900.0375,134060788.5,174447,343539.3457,68751336.84
17/05/2020,200.44,209.85,199.68,207,708711.8932,145341278.7,180088,369150.3106,75677871.47
18/05/2020,207.02,217.07,207,214.91,1064139.249,226789027.2,249528,538438.6764,114784967.2
19/05/2020,214.92,215.95,209.45,214.58,643702.9885,136846948.6,186027,319009.5963,67835348.16
20/05/2020,214.6,215.75,204.27,209.98,679532.6104,143704806.2,195172,330890.7883,70009379.66
21/05/2020,209.99,211.64,191.71,198.74,1003923.434,203445711,258415,479372.0086,97136468.81
22/05/2020,198.72,209.19,196.24,207.36,787672.3608,159972608.5,217659,399523.0416,81120762.58
23/05/2020,207.36,211.2,204.55,206.6,478559.9201,99461068.1,150729,237372.3019,49341950.42
24/05/2020,206.6,210.55,199.5,199.9,673535.0578,138917619.2,204534,324023.3235,66890503.38
25/05/2020,199.9,205.67,198.01,204.15,469931.6249,95411610.8,171792,243595.4756,49464529.61
26/05/2020,204.22,205,196.9,200.89,477176.7353,96116808.86,167702,233833.7793,47132325.29
27/05/2020,200.92,208.44,200.76,208.29,494816.7273,101445351,167619,252824.2265,51832733.6
28/05/2020,208.29,220.5,204.67,220.21,643945.9777,136361627.3,219160,352366.8836,74663823.76
29/05/2020,220.24,224.79,217.57,220.67,603058.0759,133220045.5,217959,301826.5183,66680504.4
30/05/2020,220.63,247,218.8,243.66,1019550.751,238678839.8,341862,511425.4477,119730479.8
31/05/2020,243.71,245.39,229.58,231.57,821608.6888,194867426.3,320066,381831.0608,90551397.68
1/06/2020,231.56,250.68,230.66,248.23,823816.6994,198791911.8,318497,426075.3178,102865011.7
2/06/2020,248.23,253.8,225,237.71,955520.9186,230680327.3,355417,462682.1595,111744961.6
3/06/2020,237.71,245,232.71,244.52,502928.1337,120179301.2,213792,259904.0458,62129185.47
4/06/2020,244.54,246.6,236,243.21,669369.3392,162460397.6,253226,332175.5577,80659519.35
5/06/2020,243.22,247.87,239.14,240.03,502547.411,122084004.5,205337,242309.9906,58916816.26
